ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1857.682	P	0.000662269
AFFX-BioB-M_at	3489.122	P	4.43E-05
AFFX-BioB-3_at	1435.318	P	4.43E-05
AFFX-BioC-5_at	4999.554	P	8.14E-05
AFFX-BioC-3_at	5769.367	P	4.43E-05
AFFX-BioDn-5_at	11847.62	P	5.17E-05
AFFX-BioDn-3_at	22240.46	P	6.02E-05
AFFX-CreX-5_at	60201.44	P	5.17E-05
AFFX-CreX-3_at	78456.94	P	4.43E-05
AFFX-DapX-5_at	1797.411	P	8.14E-05
AFFX-DapX-M_at	5872.785	P	0.000224668
AFFX-DapX-3_at	9796.886	P	6.02E-05
AFFX-LysX-5_at	285.3312	P	9.45E-05
AFFX-LysX-M_at	512.2216	P	0.002553594
AFFX-LysX-3_at	1778.666	P	5.17E-05
AFFX-PheX-5_at	440.7927	P	0.000195116
AFFX-PheX-M_at	781.8206	P	7.01E-05
AFFX-PheX-3_at	1093.168	P	6.02E-05
AFFX-ThrX-5_at	710.979	P	9.45E-05
AFFX-ThrX-M_at	1168.206	P	4.43E-05
AFFX-ThrX-3_at	3051.925	P	4.43E-05
AFFX-TrpnX-5_at	65.47504	A	0.275146
AFFX-TrpnX-M_at	6.152094	A	0.976081
AFFX-TrpnX-3_at	7.041328	A	0.7723832
AFFX-r2-Ec-bioB-5_at	3238.922	P	0.000244141
AFFX-r2-Ec-bioB-M_at	3148.351	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2439.07	P	0.000244141
AFFX-r2-Ec-bioC-5_at	7461.14	P	0.000244141
AFFX-r2-Ec-bioC-3_at	6982.827	P	0.000244141
AFFX-r2-Ec-bioD-5_at	27681.93	P	0.000244141
AFFX-r2-Ec-bioD-3_at	41873.94	P	0.000244141
AFFX-r2-P1-cre-5_at	83134.41	P	0.000244141
AFFX-r2-P1-cre-3_at	108409.9	P	0.000244141
AFFX-r2-Bs-dap-5_at	2519.266	P	0.000244141
AFFX-r2-Bs-dap-M_at	7257.503	P	0.000244141
AFFX-r2-Bs-dap-3_at	12132.92	P	0.000244141
AFFX-r2-Bs-lys-5_at	394.2203	P	0.000244141
AFFX-r2-Bs-lys-M_at	598.1356	P	0.000244141
AFFX-r2-Bs-lys-3_at	912.4573	P	0.000244141
AFFX-r2-Bs-phe-5_at	404.2919	P	0.00195313
AFFX-r2-Bs-phe-M_at	846.9031	P	0.000244141
AFFX-r2-Bs-phe-3_at	2361.89	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	4688.766	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	1653.484	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	974.0873	P	0.000732422
AFFX-HUMISGF3A/M97935_5_at	2845.736	P	6.02E-05
AFFX-HUMISGF3A/M97935_MA_at	6209.638	P	7.01E-05
AFFX-HUMISGF3A/M97935_MB_at	6050.545	P	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	25539.56	P	4.43E-05
AFFX-HUMRGE/M10098_5_at	946.0347	P	7.01E-05
AFFX-HUMRGE/M10098_M_at	1416.02	P	8.14E-05
AFFX-HUMRGE/M10098_3_at	2091.579	P	0.000340305
AFFX-HUMGAPDH/M33197_5_at	23217.38	P	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	21508.87	P	5.17E-05
AFFX-HUMGAPDH/M33197_3_at	33556	P	4.43E-05
AFFX-HSAC07/X00351_5_at	6321.146	P	0.00010954
AFFX-HSAC07/X00351_M_at	10747.12	P	4.43E-05
AFFX-HSAC07/X00351_3_at	33349.35	P	4.43E-05
AFFX-M27830_5_at	5420.662	P	4.43E-05
AFFX-M27830_M_at	10255.07	P	0.0044838
AFFX-M27830_3_at	46.73799	A	0.6593388
AFFX-hum_alu_at	102815.9	P	2.61E-13
1007_s_at	554.7168	P	0.03133569
1053_at	436.3727	P	0.002227676
117_at	219.2854	P	0.01930353
121_at	1038.3	P	0.02186644
1255_g_at	39.80591	A	0.5206196
1294_at	1638.892	P	0.01700051
1316_at	208.3894	P	0.02186644
1320_at	12.66142	A	0.7959779
1405_i_at	102.5873	A	0.1359738
1431_at	233.3816	P	0.000673102
1438_at	24.14146	A	0.5206231
1487_at	1479.439	P	0.01700051
1494_f_at	143.3173	A	0.1073009
1598_g_at	1762.571	P	0.000265621
160020_at	971.2933	A	0.08940502
1729_at	1834.741	P	0.000959383
1773_at	231.3115	A	0.1387651
177_at	60.35087	A	0.1073009
179_at	279.6156	A	0.1896873
1861_at	538.3271	P	0.0439678
200000_s_at	2279.174	P	0.000244141
200001_at	5569.146	P	0.000244141
200002_at	59957.36	P	0.000244141
200003_s_at	76768.3	P	0.000244141
200004_at	33215.82	P	0.000244141
200005_at	12893.3	P	0.000732422
200006_at	24405.18	P	0.000244141
200007_at	20935.96	P	0.000244141
200008_s_at	2162.354	P	0.000244141
200009_at	10142.19	P	0.000244141
200010_at	33301.39	P	0.000244141
200011_s_at	2674.77	P	0.000244141
200012_x_at	53224.21	P	0.000244141
200013_at	58896.07	P	0.000244141
200014_s_at	9044.413	P	0.000244141
200015_s_at	12606.21	P	0.00195313
200016_x_at	70528.1	P	0.000244141
200017_at	77979.8	P	0.000244141
200018_at	79062.59	P	0.000244141
200019_s_at	38706.98	P	0.000244141
200020_at	4663.188	P	0.000244141
200021_at	8730.91	P	0.00195313
200022_at	60798.77	P	0.000244141
200023_s_at	19664.01	P	0.000244141
200024_at	44048.23	P	0.000732422
200025_s_at	52611.08	P	0.000244141
200026_at	50728.09	P	0.000244141
200027_at	10283.42	P	0.000244141
200028_s_at	6999.663	P	0.000244141
200029_at	47783.32	P	0.000244141
200030_s_at	11812.35	P	0.000244141
200031_s_at	103363.5	P	0.000244141
200032_s_at	83125.07	P	0.000244141
200033_at	58371.12	P	0.000244141
200034_s_at	50648.48	P	0.000244141
200035_at	1412.64	P	0.0107422
200036_s_at	40595.68	P	0.000244141
200037_s_at	9725.425	P	0.000244141
200038_s_at	67363.78	P	0.000244141
200039_s_at	8763.894	P	0.000244141
200040_at	6735.302	P	0.000244141
200041_s_at	4927.972	P	0.000244141
200042_at	3003.092	P	0.000244141
200043_at	8953.821	P	0.000244141
200044_at	3463.283	P	0.000244141
200045_at	3103.576	P	0.000244141
200046_at	9932.927	P	0.000244141
200047_s_at	9031.885	P	0.000244141
200048_s_at	18824.43	P	0.000244141
200049_at	559.4727	P	0.000244141
200050_at	6434.31	P	0.000732422
200051_at	1552.911	P	0.000244141
200052_s_at	4347.744	P	0.000244141
200053_at	1791.969	P	0.000244141
200054_at	1406.976	P	0.000244141
200055_at	6629.276	P	0.000244141
200056_s_at	2331.256	P	0.000244141
200057_s_at	9156.848	P	0.000244141
200058_s_at	5022.765	P	0.000244141
200059_s_at	13661.91	P	0.000244141
200060_s_at	2127.839	P	0.000732422
200061_s_at	52929.81	P	0.000244141
200062_s_at	65764.24	P	0.000244141
200063_s_at	61838.44	P	0.000244141
200064_at	13043.88	P	0.000732422
200065_s_at	10872.88	P	0.000732422
200066_at	3497.105	P	0.0141602
200067_x_at	6633.893	P	0.000244141
200068_s_at	21378.48	P	0.000244141
200069_at	1093.448	P	0.000244141
200070_at	831.5547	P	0.0185547
200071_at	2191.041	P	0.00195313
200072_s_at	4076.903	P	0.000244141
200073_s_at	9911.8	P	0.000244141
200074_s_at	21932.05	P	0.000244141
200075_s_at	2443.403	P	0.000732422
200076_s_at	1501.767	P	0.00292969
200077_s_at	45951.76	P	0.000244141
200078_s_at	4389.073	P	0.000732422
200079_s_at	6635.919	P	0.000244141
200080_s_at	37323.29	P	0.000244141
200081_s_at	56630.65	P	0.000244141
200082_s_at	18081.99	P	0.000244141
200083_at	1906.854	P	0.0012207
200084_at	13536.06	P	0.000244141
200085_s_at	2937.2	P	0.000732422
200086_s_at	12783.83	P	0.000244141
200087_s_at	23483.39	P	0.000244141
200088_x_at	71537.16	P	0.000244141
200089_s_at	72036.66	P	0.000244141
200090_at	6658.821	P	0.000244141
200091_s_at	59012.05	P	0.000244141
200092_s_at	87866.84	P	0.000244141
200093_s_at	11134.92	P	0.000244141
200094_s_at	22017.62	P	0.000244141
200095_x_at	76985.71	P	0.000244141
200096_s_at	28813.86	P	0.000244141
200097_s_at	16649.71	P	0.0012207
200098_s_at	5886.182	P	0.000244141
200099_s_at	92624.84	P	0.000244141
200593_s_at	2055.266	P	0.000244141
200594_x_at	10522.21	P	0.000244141
200595_s_at	5851.229	P	0.000244141
200596_s_at	2464.304	P	0.00292969
200597_at	580.1724	P	0.000732422
200598_s_at	26960.46	P	0.000244141
200599_s_at	56536.06	P	0.000244141
200600_at	8390.086	P	0.000244141
200601_at	996.3453	P	0.0107422
200602_at	5133.808	P	0.000244141
200603_at	14310.05	P	0.000244141
200604_s_at	442.171	P	0.00195313
200605_s_at	4042.705	P	0.000244141
200606_at	2539.886	P	0.000244141
200607_s_at	1307.096	P	0.00195313
200608_s_at	5854.42	P	0.000244141
200609_s_at	3646.365	P	0.00195313
200610_s_at	12689.6	P	0.000244141
200611_s_at	2194.361	P	0.0012207
200612_s_at	526.4151	P	0.00415039
200613_at	4763.547	P	0.00195313
200614_at	8029.129	P	0.000244141
200615_s_at	1187.849	P	0.000732422
200616_s_at	3172.342	P	0.000244141
200617_at	1956.19	P	0.000244141
200618_at	3657.528	P	0.000244141
200619_at	2330.293	A	0.129639
200620_at	35515.56	P	0.000244141
200621_at	2433.356	P	0.000244141
200622_x_at	1805.278	P	0.00195313
200623_s_at	652.924	P	0.0375977
200624_s_at	8447.552	P	0.000244141
200625_s_at	10919	P	0.000244141
200626_s_at	15281.54	P	0.000244141
200627_at	18722.84	P	0.000244141
200628_s_at	1099.975	M	0.0561523
200629_at	2315.388	P	0.000244141
200630_x_at	19733.1	P	0.000244141
200631_s_at	13114.54	P	0.000244141
200632_s_at	865.9646	P	0.000244141
200633_at	46691.22	P	0.000244141
200634_at	4603.296	P	0.000244141
200635_s_at	81.34954	A	0.398926
200636_s_at	438.5616	A	0.27417
200637_s_at	94.45274	A	0.466064
200638_s_at	8477.839	P	0.000244141
200639_s_at	5946.354	P	0.000244141
200640_at	5423.602	P	0.000244141
200641_s_at	2911.794	P	0.000244141
200642_at	13003.99	P	0.000732422
200643_at	6102.49	P	0.00195313
200644_at	1180.701	P	0.000732422
200645_at	15929.99	P	0.000244141
200646_s_at	333.0396	P	0.0239258
200647_x_at	8665.621	P	0.000244141
200648_s_at	44.43575	A	0.533936
200649_at	932.6416	P	0.00195313
200650_s_at	19855.59	P	0.000244141
200651_at	59904.19	P	0.000244141
200652_at	17056.71	P	0.000732422
200653_s_at	6297.514	P	0.000244141
200654_at	20135	P	0.0107422
200655_s_at	5794.585	P	0.000244141
200656_s_at	8649.185	P	0.000732422
200657_at	10452.03	P	0.000244141
200658_s_at	1082.484	P	0.000244141
200659_s_at	448.2734	P	0.000732422
200660_at	794.2432	P	0.0185547
200661_at	799.6017	P	0.00585938
200662_s_at	14865.37	P	0.000244141
200663_at	23791.19	P	0.000244141
200664_s_at	1922.156	P	0.00415039
200665_s_at	949.4095	P	0.00585938
200666_s_at	1705.148	P	0.000244141
200667_at	8119.474	P	0.000244141
200668_s_at	15330.76	P	0.000244141
200669_s_at	6346.187	P	0.000244141
200670_at	37671.04	P	0.000244141
200671_s_at	144.5616	A	0.246094
200672_x_at	328.0257	M	0.0561523
200673_at	13390.89	P	0.000244141
200674_s_at	46562.88	P	0.000244141
200675_at	55.15683	A	0.27417
200676_s_at	129.3023	P	0.0141602
200677_at	6172.05	P	0.000732422
200678_x_at	2409.259	P	0.00415039
200679_x_at	4284.804	P	0.000244141
200680_x_at	21555.96	P	0.000244141
200681_at	8160.228	P	0.000244141
200682_s_at	6728.893	P	0.000244141
200683_s_at	903.0321	P	0.000244141
200684_s_at	553.5953	P	0.00585938
200685_at	1059.557	P	0.000244141
200686_s_at	16634.58	P	0.000244141
200687_s_at	987.3514	P	0.00585938
200688_at	499.2784	P	0.0141602
200689_x_at	51925.9	P	0.000244141
200690_at	1088.477	P	0.00292969
200691_s_at	9502.892	P	0.000244141
200692_s_at	4028.75	P	0.000244141
200693_at	9000.463	P	0.000244141
200694_s_at	9334.875	P	0.000244141
200695_at	1152.091	P	0.00585938
200696_s_at	1096.829	P	0.000244141
200697_at	782.2737	P	0.00585938
200698_at	3388.14	P	0.000244141
200699_at	1476.63	P	0.0012207
200700_s_at	5925.765	P	0.000244141
200701_at	6153.433	P	0.000244141
200702_s_at	2571.887	P	0.000244141
200703_at	19640.61	P	0.000244141
200704_at	6791.006	P	0.000244141
200705_s_at	55566.91	P	0.000244141
200706_s_at	2980.568	P	0.000244141
200707_at	1045.157	P	0.00585938
200708_at	1867.375	P	0.0012207
200709_at	1395.359	P	0.000244141
200710_at	5440.14	P	0.000244141
200711_s_at	3535.043	P	0.000244141
200712_s_at	1373.625	P	0.000244141
200713_s_at	4827.409	P	0.000244141
200714_x_at	4400.693	P	0.000244141
200715_x_at	44414.46	P	0.000244141
200716_x_at	71099.38	P	0.000244141
200717_x_at	76768.05	P	0.000244141
200718_s_at	21258.55	P	0.000244141
200719_at	773.8873	P	0.0012207
200720_s_at	763.1146	P	0.00805664
200721_s_at	461.7175	A	0.0805664
200722_s_at	3681.742	P	0.00195313
200723_s_at	10958.74	P	0.000244141
200724_at	302.8518	P	0.0461426
200725_x_at	63004.32	P	0.000244141
200726_at	24006.99	P	0.000244141
200727_s_at	1478.799	P	0.0012207
200728_at	5394.935	P	0.000244141
200729_s_at	5047.205	P	0.000244141
200730_s_at	1322.784	P	0.000244141
200731_s_at	1725.935	P	0.000244141
200732_s_at	4148.678	P	0.000244141
200733_s_at	4659.961	P	0.000244141
200734_s_at	848.8132	P	0.000244141
200735_x_at	56539.76	P	0.000244141
200736_s_at	1997.024	P	0.000732422
200737_at	1584.903	P	0.00195313
200738_s_at	12007.61	P	0.000244141
200739_s_at	837.1011	P	0.00585938
200740_s_at	8023.08	P	0.000244141
200741_s_at	90915.34	P	0.000244141
200742_s_at	2989.207	P	0.000244141
200743_s_at	3476.056	P	0.000244141
200744_s_at	1520.799	P	0.000244141
200745_s_at	2516.787	P	0.00195313
200746_s_at	4029.823	P	0.00195313
200747_s_at	1154.304	P	0.00195313
200748_s_at	7867.023	P	0.000244141
200749_at	4412.595	P	0.0012207
200750_s_at	10052.82	P	0.000244141
200751_s_at	3793.729	P	0.000244141
200752_s_at	422.3308	P	0.0375977
200753_x_at	5194.932	P	0.000732422
200754_x_at	11618.41	P	0.000244141
200755_s_at	1672.525	P	0.000244141
200756_x_at	852.8509	A	0.0952148
200757_s_at	3049.918	P	0.000244141
200758_s_at	1500.728	P	0.00195313
200759_x_at	2548.196	P	0.000732422
200760_s_at	3528.744	P	0.000244141
200761_s_at	13297.1	P	0.000244141
200762_at	59.66958	A	0.246094
200763_s_at	74900.19	P	0.000244141
200764_s_at	1379.488	P	0.000732422
200765_x_at	2125.234	P	0.000244141
200766_at	286.3525	P	0.0185547
200767_s_at	1394.995	P	0.000244141
200768_s_at	5113.983	P	0.000244141
200769_s_at	195.7745	A	0.171387
200770_s_at	2968.572	P	0.000244141
200771_at	2135.054	P	0.00292969
200772_x_at	15920.68	P	0.000244141
200773_x_at	23095.4	P	0.000244141
200774_at	24642.29	P	0.000244141
200775_s_at	13820.68	P	0.000244141
200776_s_at	2266.176	P	0.0012207
200777_s_at	5771.686	P	0.000244141
200778_s_at	4253.318	P	0.000244141
200779_at	25471.78	P	0.000244141
200780_x_at	34948.47	P	0.000244141
200781_s_at	60385.66	P	0.000244141
200782_at	6123.576	P	0.000244141
200783_s_at	540.0717	P	0.0012207
